Date,Price,Open,High,Low,InterpolateSLinear_Price,InterpolateSLinear_Open,InterpolateSLinear_High,InterpolateSLinear_Low
2019-07-02,0.255,0.26,0.27,0.255,0.255,0.26,0.27,0.255
2019-07-03,0.245,0.25,0.255,0.24,0.245,0.25,0.255,0.24
2019-07-04,0.245,0.245,0.25,0.24,0.245,0.245,0.25,0.24
2019-07-05,0.245,0.245,0.25,0.24,0.245,0.245,0.25,0.24
2019-07-06,,,,,0.24666666666666665,0.24666666666666665,0.25166666666666665,0.24166666666666664
2019-07-07,,,,,0.24833333333333332,0.24833333333333332,0.2533333333333333,0.24333333333333332
2019-07-08,0.25,0.25,0.255,0.245,0.25,0.25,0.255,0.245
2019-07-09,0.235,0.255,0.255,0.235,0.235,0.255,0.255,0.235
2019-07-10,0.24,0.245,0.245,0.237,0.24,0.245,0.245,0.237
2019-07-11,0.24,0.25,0.25,0.24,0.24,0.25,0.25,0.24
2019-07-12,0.245,0.245,0.25,0.245,0.245,0.245,0.25,0.245
2019-07-13,,,,,0.24166666666666664,0.245,0.24833333333333332,0.24
2019-07-14,,,,,0.2383333333333333,0.245,0.24666666666666665,0.235
2019-07-15,0.235,0.245,0.245,0.23,0.235,0.245,0.245,0.23
2019-07-16,0.24,0.235,0.25,0.235,0.24,0.235,0.25,0.235
2019-07-17,0.23,0.245,0.245,0.23,0.23,0.245,0.245,0.23
2019-07-18,0.23,0.235,0.235,0.23,0.23,0.235,0.235,0.23
2019-07-19,0.235,0.23,0.24,0.23,0.235,0.23,0.24,0.23
2019-07-20,,,,,0.255,0.23166666666666663,0.2583333333333333,0.23166666666666663
2019-07-21,,,,,0.27499999999999997,0.2333333333333333,0.2766666666666666,0.2333333333333333
2019-07-22,0.295,0.235,0.295,0.235,0.295,0.235,0.295,0.235
2019-07-23,0.27,0.285,0.3,0.265,0.27,0.285,0.3,0.265
2019-07-24,0.26,0.275,0.28,0.26,0.26,0.275,0.28,0.26
2019-07-25,0.255,0.265,0.27,0.255,0.255,0.265,0.27,0.255
2019-07-26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.25
2019-07-27,,,,,0.2583333333333333,0.26,0.2633333333333333,0.25166666666666665
2019-07-28,,,,,0.25666666666666665,0.26,0.26666666666666666,0.2533333333333333
2019-07-29,0.255,0.26,0.27,0.255,0.255,0.26,0.27,0.255
2019-07-30,0.25,0.26,0.265,0.25,0.25,0.26,0.265,0.25
2019-07-31,0.255,0.255,0.257,0.25,0.255,0.255,0.257,0.25
2019-08-01,0.24,0.25,0.255,0.24,0.24,0.25,0.255,0.24
2019-08-02,0.235,0.245,0.245,0.235,0.235,0.245,0.245,0.235
2019-08-03,,,,,0.22999999999999998,0.24166666666666664,0.24166666666666664,0.2283333333333333
2019-08-04,,,,,0.22499999999999998,0.2383333333333333,0.2383333333333333,0.22166666666666662
2019-08-05,0.22,0.235,0.235,0.215,0.22,0.235,0.235,0.215
2019-08-06,0.21,0.215,0.22,0.2,0.21,0.215,0.22,0.2
2019-08-07,0.21,0.22,0.235,0.21,0.21,0.22,0.235,0.21
2019-08-08,0.22,0.215,0.225,0.212,0.22,0.215,0.225,0.212
2019-08-09,0.225,0.225,0.23,0.215,0.225,0.225,0.23,0.215
2019-08-10,,,,,0.22333333333333333,0.22333333333333333,0.22833333333333333,0.21499999999999997
2019-08-11,,,,,0.22166666666666668,0.22166666666666668,0.22666666666666666,0.21499999999999997
2019-08-12,0.22,0.22,0.225,0.215,0.22,0.22,0.225,0.215
2019-08-13,0.215,0.22,0.225,0.215,0.215,0.22,0.225,0.215
2019-08-14,0.215,0.22,0.225,0.21,0.215,0.22,0.225,0.21
2019-08-15,0.215,0.215,0.22,0.205,0.215,0.215,0.22,0.205
2019-08-16,0.2,0.215,0.215,0.195,0.2,0.215,0.215,0.195
2019-08-17,,,,,0.19833333333333333,0.20999999999999996,0.21499999999999997,0.195
2019-08-18,,,,,0.19666666666666666,0.205,0.21499999999999997,0.195
2019-08-19,0.195,0.2,0.215,0.195,0.195,0.2,0.215,0.195
2019-08-20,0.205,0.2,0.21,0.2,0.205,0.2,0.21,0.2
2019-08-21,0.195,0.2,0.205,0.185,0.195,0.2,0.205,0.185
2019-08-22,0.195,0.19,0.19699999999999998,0.19,0.195,0.19,0.19699999999999998,0.19
2019-08-23,0.19,0.2,0.2,0.19,0.19,0.2,0.2,0.19
2019-08-24,,,,,0.1883333333333333,0.19666666666666666,0.19833333333333333,0.18666666666666665
2019-08-25,,,,,0.18666666666666665,0.1933333333333333,0.19666666666666666,0.18333333333333332
2019-08-26,0.185,0.19,0.195,0.18,0.185,0.19,0.195,0.18
2019-08-27,0.18,0.18,0.19,0.18,0.18,0.18,0.19,0.18
2019-08-28,0.18,0.185,0.19,0.18,0.18,0.185,0.19,0.18
2019-08-29,0.18,0.185,0.19,0.18,0.18,0.185,0.19,0.18
2019-08-30,0.17,0.18,0.19,0.165,0.17,0.18,0.19,0.165
2019-08-31,,,,,0.16833333333333333,0.17666666666666667,0.18499999999999997,0.16333333333333333
2019-09-01,,,,,0.16666666666666669,0.17333333333333334,0.18,0.16166666666666665
2019-09-02,0.165,0.17,0.175,0.16,0.165,0.17,0.175,0.16
2019-09-03,0.155,0.165,0.165,0.15,0.155,0.165,0.165,0.15
2019-09-04,0.155,0.15,0.155,0.145,0.155,0.15,0.155,0.145
2019-09-05,0.16,0.16,0.165,0.155,0.16,0.16,0.165,0.155
2019-09-06,0.18,0.16,0.2,0.16,0.18,0.16,0.2,0.16
2019-09-07,,,,,0.18333333333333332,0.16999999999999998,0.19833333333333333,0.16666666666666666
2019-09-08,,,,,0.18666666666666665,0.18,0.19666666666666666,0.17333333333333334
2019-09-09,0.19,0.19,0.195,0.18,0.19,0.19,0.195,0.18
2019-09-10,0.24,0.195,0.24,0.19,0.24,0.195,0.24,0.19
2019-09-11,0.265,0.25,0.275,0.25,0.265,0.25,0.275,0.25
2019-09-12,0.245,0.27,0.27,0.24,0.245,0.27,0.27,0.24
2019-09-13,0.245,0.245,0.255,0.23,0.245,0.245,0.255,0.23
2019-09-14,,,,,0.26166666666666666,0.2633333333333333,0.2783333333333333,0.24666666666666665
2019-09-15,,,,,0.2783333333333333,0.2816666666666666,0.30166666666666664,0.2633333333333333
2019-09-16,0.295,0.3,0.325,0.28,0.295,0.3,0.325,0.28
2019-09-17,,,,,0.27749999999999997,0.3,0.32,0.27
2019-09-18,0.26,0.3,0.315,0.26,0.26,0.3,0.315,0.26
2019-09-19,0.25,0.275,0.28,0.25,0.25,0.275,0.28,0.25
2019-09-20,0.26,0.255,0.275,0.25,0.26,0.255,0.275,0.25
2019-09-21,,,,,0.26,0.2583333333333333,0.2733333333333333,0.2533333333333333
2019-09-22,,,,,0.26,0.26166666666666666,0.27166666666666667,0.25666666666666665
2019-09-23,0.26,0.265,0.27,0.26,0.26,0.265,0.27,0.26
2019-09-24,0.26,0.26,0.265,0.247,0.26,0.26,0.265,0.247
2019-09-25,0.26,0.25,0.26,0.245,0.26,0.25,0.26,0.245
2019-09-26,0.245,0.255,0.255,0.24,0.245,0.255,0.255,0.24
2019-09-27,0.255,0.245,0.255,0.245,0.255,0.245,0.255,0.245
2019-09-28,,,,,0.2533333333333333,0.24833333333333332,0.2583333333333333,0.24666666666666665
2019-09-29,,,,,0.25166666666666665,0.25166666666666665,0.26166666666666666,0.24833333333333332
2019-09-30,0.25,0.255,0.265,0.25,0.25,0.255,0.265,0.25
2019-10-01,0.255,0.25,0.26,0.25,0.255,0.25,0.26,0.25
2019-10-02,0.25,0.25,0.255,0.245,0.25,0.25,0.255,0.245
2019-10-03,0.245,0.245,0.25,0.235,0.245,0.245,0.25,0.235
2019-10-04,0.25,0.245,0.25,0.24,0.25,0.245,0.25,0.24
2019-10-05,,,,,0.24666666666666665,0.245,0.24833333333333332,0.23666666666666664
2019-10-06,,,,,0.2433333333333333,0.245,0.24666666666666665,0.2333333333333333
2019-10-07,0.24,0.245,0.245,0.23,0.24,0.245,0.245,0.23
2019-10-08,0.225,0.24,0.24,0.225,0.225,0.24,0.24,0.225
2019-10-09,0.225,0.23,0.23,0.215,0.225,0.23,0.23,0.215
2019-10-10,0.225,0.22,0.225,0.2,0.225,0.22,0.225,0.2
2019-10-11,0.225,0.22,0.225,0.215,0.225,0.22,0.225,0.215
2019-10-12,,,,,0.22499999999999998,0.22166666666666668,0.22666666666666666,0.21666666666666665
2019-10-13,,,,,0.22499999999999998,0.22333333333333333,0.22833333333333333,0.21833333333333332
2019-10-14,0.225,0.225,0.23,0.22,0.225,0.225,0.23,0.22
2019-10-15,0.23,0.22,0.23,0.22,0.23,0.22,0.23,0.22
2019-10-16,0.225,0.225,0.225,0.215,0.225,0.225,0.225,0.215
2019-10-17,0.215,0.225,0.225,0.215,0.215,0.225,0.225,0.215
2019-10-18,0.225,0.22,0.225,0.215,0.225,0.22,0.225,0.215
2019-10-19,,,,,0.22166666666666665,0.22,0.22499999999999998,0.21499999999999997
2019-10-20,,,,,0.21833333333333332,0.22,0.22499999999999998,0.21499999999999997
2019-10-21,0.215,0.22,0.225,0.215,0.215,0.22,0.225,0.215
2019-10-22,0.21,0.215,0.215,0.205,0.21,0.215,0.215,0.205
2019-10-23,0.205,0.21,0.21,0.205,0.205,0.21,0.21,0.205
2019-10-24,0.215,0.205,0.215,0.205,0.215,0.205,0.215,0.205
2019-10-25,0.22,0.22,0.225,0.215,0.22,0.22,0.225,0.215
2019-10-26,,,,,0.22499999999999998,0.22166666666666668,0.22999999999999998,0.21833333333333332
2019-10-27,,,,,0.22999999999999998,0.22333333333333333,0.235,0.22166666666666665
2019-10-28,0.235,0.225,0.24,0.225,0.235,0.225,0.24,0.225
2019-10-29,0.235,0.24,0.245,0.235,0.235,0.24,0.245,0.235
2019-10-30,0.225,0.235,0.245,0.225,0.225,0.235,0.245,0.225
2019-10-31,0.225,0.225,0.23,0.225,0.225,0.225,0.23,0.225
2019-11-01,0.2,0.22,0.22,0.2,0.2,0.22,0.22,0.2
2019-11-02,,,,,0.2033333333333333,0.21833333333333332,0.22,0.20166666666666666
2019-11-03,,,,,0.20666666666666667,0.21666666666666665,0.22,0.2033333333333333
2019-11-04,0.21,0.215,0.22,0.205,0.21,0.215,0.22,0.205
2019-11-05,0.21,0.22,0.22,0.21,0.21,0.22,0.22,0.21
2019-11-06,0.21,0.215,0.22,0.21,0.21,0.215,0.22,0.21
2019-11-07,0.215,0.22,0.22,0.215,0.215,0.22,0.22,0.215
2019-11-08,0.21,0.215,0.217,0.21,0.21,0.215,0.217,0.21
2019-11-09,,,,,0.21166666666666664,0.21333333333333332,0.218,0.20999999999999996
2019-11-10,,,,,0.21333333333333332,0.21166666666666664,0.219,0.20999999999999996
2019-11-11,0.215,0.21,0.22,0.21,0.215,0.21,0.22,0.21
2019-11-12,0.235,0.215,0.235,0.215,0.235,0.215,0.235,0.215
2019-11-13,0.21,0.23,0.23,0.21,0.21,0.23,0.23,0.21
2019-11-14,0.205,0.215,0.22,0.205,0.205,0.215,0.22,0.205
2019-11-15,0.205,0.21,0.215,0.2,0.205,0.21,0.215,0.2
2019-11-16,,,,,0.205,0.21166666666666664,0.21499999999999997,0.20166666666666666
2019-11-17,,,,,0.205,0.21333333333333332,0.21499999999999997,0.2033333333333333
2019-11-18,0.205,0.215,0.215,0.205,0.205,0.215,0.215,0.205
2019-11-19,0.21,0.21,0.215,0.20199999999999999,0.21,0.21,0.215,0.20199999999999999
2019-11-20,0.2,0.205,0.21,0.195,0.2,0.205,0.21,0.195
2019-11-21,0.205,0.2,0.205,0.195,0.205,0.2,0.205,0.195
2019-11-22,0.2,0.2,0.2,0.195,0.2,0.2,0.2,0.195
2019-11-23,,,,,0.2,0.20166666666666666,0.20166666666666666,0.19333333333333333
2019-11-24,,,,,0.2,0.2033333333333333,0.2033333333333333,0.19166666666666665
2019-11-25,0.2,0.205,0.205,0.19,0.2,0.205,0.205,0.19
2019-11-26,0.195,0.2,0.2,0.19,0.195,0.2,0.2,0.19
2019-11-27,0.195,0.2,0.2,0.195,0.195,0.2,0.2,0.195
2019-11-28,0.195,0.19,0.195,0.19,0.195,0.19,0.195,0.19
2019-11-29,0.198,0.195,0.2,0.195,0.198,0.195,0.2,0.195
2019-11-30,,,,,0.19533333333333333,0.19666666666666666,0.2,0.19333333333333333
2019-12-01,,,,,0.19266666666666665,0.19833333333333333,0.2,0.19166666666666665
2019-12-02,0.19,0.2,0.2,0.19,0.19,0.2,0.2,0.19
2019-12-03,0.19,0.19,0.195,0.19,0.19,0.19,0.195,0.19
2019-12-04,0.19,0.19,0.195,0.19,0.19,0.19,0.195,0.19
2019-12-05,0.195,0.195,0.20199999999999999,0.195,0.195,0.195,0.20199999999999999,0.195
2019-12-06,0.205,0.20199999999999999,0.215,0.2,0.205,0.20199999999999999,0.215,0.2
2019-12-07,,,,,0.205,0.20299999999999999,0.21166666666666664,0.19833333333333333
2019-12-08,,,,,0.205,0.204,0.20833333333333331,0.19666666666666666
2019-12-09,0.205,0.205,0.205,0.195,0.205,0.205,0.205,0.195
2019-12-10,0.205,0.2,0.205,0.2,0.205,0.2,0.205,0.2
2019-12-11,0.21,0.205,0.215,0.205,0.21,0.205,0.215,0.205
2019-12-12,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.2
2019-12-13,0.21,0.21,0.21,0.205,0.21,0.21,0.21,0.205
2019-12-14,,,,,0.20833333333333331,0.20999999999999996,0.21333333333333332,0.205
2019-12-15,,,,,0.20666666666666667,0.20999999999999996,0.21666666666666667,0.205
2019-12-16,0.205,0.21,0.22,0.205,0.205,0.21,0.22,0.205
2019-12-17,0.21,0.21,0.215,0.205,0.21,0.21,0.215,0.205
2019-12-18,0.2,0.205,0.215,0.2,0.2,0.205,0.215,0.2
2019-12-19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2019-12-20,,,,,0.198,0.198,0.198,0.198
2019-12-21,,,,,0.196,0.196,0.196,0.196
2019-12-22,,,,,0.194,0.194,0.194,0.194
2019-12-23,,,,,0.192,0.192,0.192,0.192
2019-12-24,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
2019-12-25,,,,,0.1933333333333333,0.1933333333333333,0.1933333333333333,0.1933333333333333
2019-12-26,,,,,0.19666666666666666,0.19666666666666666,0.19666666666666666,0.19666666666666666
2019-12-27,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2019-12-28,,,,,0.195,0.19833333333333333,0.2,0.19333333333333333
2019-12-29,,,,,0.19,0.19666666666666666,0.2,0.18666666666666665
2019-12-30,0.185,0.195,0.2,0.18,0.185,0.195,0.2,0.18
2019-12-31,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
